title,rating,avgRating,num of ratings,score,year,directedBy,starring
The Martian (2015),4.033416216871854,4.03858,16489,4.0262351662653435,2015,Ridley Scott,"Matt Damon,Jessica Chastain,Kristen Wiig,Michael Peña,Kate Mara,Jeff Daniels,Sean Bean,Sebastian Stan,Chiwetel Ejiofor,Benedict Wong,Mackenzie Davis,Donald Glover,Shu Chen,Jonathan Aris,Sam Spruell"
Lone Star (1996),4.053235429095915,4.05705,6537,4.0259305488970085,1996,John Sayles,"Chris Cooper, Stephen J. Lang, Stephen Mendillo, Elizabeth Peña, Matthew McConaughey,"
"Hustler, The (1961)",4.072563683103529,4.07297,4279,4.025473263452611,1961,Robert Rossen,"Jackie Gleason, Paul Newman, George C. Scott, Piper Laurie"
Shadow of a Doubt (1943),4.112183612183612,4.1123,2331,4.025165280649583,1943,Alfred Hitchcock,"Macdonald Carey, Joseph Cotten, Henry Travers, Teresa Wright"
Rebecca (1940),4.070234454638125,4.06619,4905,4.024810931638109,1940,Alfred Hitchcock,"Joan Fontaine, Laurence Olivier, George Sanders, Judith Anderson, Florence Bates, Nigel Bruce, Leo G. Carroll"
"Big Short, The (2015)",4.02710027100271,4.05101,7380,4.023577263970118,2015,Adam McKay,"Christian Bale,Brad Pitt,Ryan Gosling,Steve Carell,Melissa Leo"
"Shining, The (1980)",4.0278640874010225,4.02937,29931,4.022619240908984,1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
"Hunt, The (Jagten) (2012)",4.078099576960625,4.08822,3073,4.022485648231461,2012,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen"
"Killing Fields, The (1984)",4.070998089078348,4.05175,6803,4.022081563722199,1984,Roland Joffé,"John Malkovich, Haing S. Ngor, Julian Sands, Sam Waterston"
Roman Holiday (1953),4.0514797507788165,4.05332,6420,4.021893736520794,1953,William Wyler,"Eddie Albert, Gregory Peck, Hartley Power, Audrey Hepburn"
Blue Planet II (2017),4.289833080424886,4.32718,659,4.021359753385933,2017,,David Attenborough
Stop Making Sense (1984),4.100869167429094,4.11352,2186,4.0213315828396565,1984,Jonathan Demme,"David Byrne, Chris Frantz, Jerry Harrison, Tina Weymouth"
Raging Bull (1980),4.052931292008962,4.03991,10712,4.021105816590248,1980,Martin Scorsese,"Robert De Niro, Joe Pesci, Frank Vincent, Cathy Moriarty"
Your Name. (2016),4.106695869837297,4.14582,1598,4.020043615995579,2016,Makoto Shinkai,"Ryuunosuke Kamiki,Mone Kamishiraishi,Nobunaga Shimazaki,Etsuko Ichihara,Tani Kanon"
Inglourious Basterds (2009),4.011396628677905,4.02655,23077,4.017879262074119,2009,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, B.J. Novak, August Diehl, Denis Menochet, Mike Myers, Julie Dreyfus, Rod Taylor, Samm Levine, Christian Berkel, Léa Seydoux, Bo Svenson, Samuel L. Jackson, Harvey Keitel, Gregory Nicotero, Quentin Tarantino"
"Grand Budapest Hotel, The (2014)",4.016746960311998,4.0327,13077,4.0174134827205625,2014,Wes Anderson,"Saoirse Ronan, Bill Murray, Tilda Swinton, Edward Norton, Ralph Fiennes, Léa Seydoux, Jude Law, Owen Wilson, Adrien Brody, Willem Dafoe, Jeff Goldblum, Bob Balaban, Jason Schwartzman, Harvey Keitel, Tom Wilkinson, F. Murray Abraham, Mathieu Amalric, Karl Markovics"
Annie Hall (1977),4.042453118318979,4.02872,16371,4.016531576728216,1977,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane, Shelley Duvall, Colleen Dewhurst, Christopher Walken"
Butch Cassidy and the Sundance Kid (1969),4.039633147723551,4.02953,15265,4.016460414910588,1969,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones"
"Lock, Stock & Two Smoking Barrels (1998)",4.02666147455867,4.02656,19260,4.016206820950651,1998,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Vinnie Jones, P.H. Moriarty"
"Thin Blue Line, The (1988)",4.109203798392987,4.08729,2738,4.014691438890579,1988,Errol Morris,"Randall Adams, David Harris, Gus Rose, Jackie Johnson, Marshall Touchton, Dale Holt"
Some Like It Hot (1959),4.060091782838341,4.0319,11549,4.014688664664642,1959,Billy Wilder,"Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft, Pat O'Brien"
"Graduate, The (1967)",4.031510361033967,4.02525,18724,4.014635196749039,1967,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels"
Whiplash (2013),4.210194174757282,4.20648,1030,4.013837808437054,2013,Damien Chazelle,"Johnny Simmons,J.K. Simmons"
Django Unchained (2012),4.004882293227631,4.02187,20687,4.012308994141657,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, Don Johnson, Franco Nero, James Russo, Tom Wopat, Don Stroud, Russ Tamblyn, Amber Tamblyn, Bruce Dern, M.C. Gainey, Jonah Hill, Tom Savini, Quentin Tarantino, Michael Bacall, Ned Bellamy, Robert Carradine, J.D. Evermore, Gary Grubbs, Rex Linn"
Creature Comforts (1989),4.107459677419355,4.09128,2480,4.011638491839359,1989,Nick Park,Julie Sedgewick
Stalker (1979),4.079924953095685,4.08462,2665,4.010659206035435,1979,Andrei Tarkovsky,"Nikolai Grinko, Aleksandr Kajdanovsky, Anatoli Solonitsyn, Alisa Frejndlikh"
It's a Wonderful Life (1946),4.032858814352574,4.02307,15384,4.010268152638505,1946,Frank Capra,"James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,H.B. Warner,Samuel S. Hinds,Frank Albertson,Sheldon Leonard,Frank Hagney,Charles Lane,Ellen Corby,Charles Halton,Carl 'Alfalfa' Switzer"
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",4.086503948312994,4.08084,2786,4.01016488605722,2003,Errol Morris,Robert McNamara
